Libellé,Type,État,Cours,Qté cumulée,Volume cumulé,Capitalisation,Var.(%),Date,Action
PROMOPHARM S.A.,Actions,AUT,1 085.00,14,15 190.00,1 085 000 000.00,-3.98,14:31,AV
MICRODATA,Actions,AUT,830.00,144,119 635.40,1 394 400 000.00,-3.49,13:23,AV
AFMA,Actions,AUT,1 302.00,4,5 205.00,1 302 000 000.00,-2.84,14:26,AV
LAFARGEHOLCIM MAROC,Actions,AUT,1 920.00,7 136,13 915 947.00,44 987 981 000.00,-2.64,15:30,AV
COSUMAR,Actions,AUT,230.00,721,169 537.80,21 732 043 000.00,-2.19,15:32,AV
DELTA HOLDING,Actions,AUT,81.50,43 764,3 567 170.94,7 139 400 000.00,-1.81,15:39,AV
BCP,Actions,AUT,289.10,92 341,26 762 693.05,58 777 636 000.00,-1.33,15:41,AV
CIH,Actions,AUT,435.00,458,198 325.20,13 701 318 000.00,-1.14,15:32,AV
TOTALENERGIES MARKETING MAROC,Actions,AUT,1 789.00,850,1 521 216.00,16 029 440 000.00,-1.05,15:32,AV
AKDITAL,Actions,AUT,1 460.00,2 113,3 090 621.00,20 672 442 000.00,-0.68,15:35,AV
ITISSALAT AL-MAGHRIB,Actions,AUT,111.00,235 805,26 511 479.80,97 579 583 000.00,-0.67,15:34,AV
MUTANDIS SCA,Actions,AUT,300.00,29 319,8 796 496.70,2 774 021 100.00,-0.50,15:39,AV
CTM,Actions,AUT,989.00,765,773 588.10,1 212 492 200.00,-0.42,15:18,AV
JET CONTRACTORS,Actions,AUT,2 002.00,4 302,8 621 317.00,6 065 103 000.00,-0.35,15:38,AV
WAFA ASSURANCE,Actions,AUT,5 235.00,1 010,5 287 470.00,18 322 500 000.00,-0.29,15:37,AV
DOUJA PROM ADDOHA,Actions,AUT,36.87,316 295,11 653 777.85,14 842 065 000.00,-0.08,15:40,AV
CMGP GROUP,Actions,AUT,311.85,14 150,4 415 704.50,5 301 730 700.00,-0.05,15:37,AV
SONASID,Actions,AUT,2 580.00,1 546,4 003 556.00,10 062 000 000.00,-0.04,15:33,AV
