Libellé,Type,État,Cours,Qté cumulée,Volume cumulé,Capitalisation,Var.(%),Date,Action
STROC INDUSTRIE,Actions,AUT,226.15,34 251,7 592 615.80,282 351 670.00,+10.00,15:36,AV
INVOLYS,Actions,AUT,191.55,1 056,202 276.80,73 309 250.00,+9.99,15:31,AV
REALISATIONS MECANIQUES,Actions,AUT,541.70,5 922,3 138 326.10,173 344 000.00,+9.99,15:31,AV
FENIE BROSSETTE,Actions,AUT,377.25,17 643,6 339 343.25,542 856 710.00,+9.99,15:31,AV
IB MAROC.COM,Actions,AUT,72.04,1 293,93 147.72,30 075 691.00,+9.98,15:32,AV
CARTIER SAADA,Actions,AUT,35.74,13 691,486 870.22,188 171 100.00,+9.97,15:30,AV
MED PAPER,Actions,AUT,25.27,29 342,741 472.34,120 887 210.00,+9.97,15:34,AV
AUTO HALL,Actions,AUT,84.00,53 271,4 456 626.50,4 224 740 400.00,+9.09,15:39,AV
COLORADO,Actions,AUT,64.00,18 742,1 200 499.68,1 031 527 100.00,+8.44,15:36,AV
LABEL VIE,Actions,AUT,4 790.00,4 178,19 986 805.00,13 862 054 000.00,+7.71,15:32,AV
EQDOM,Actions,AUT,1 146.00,305,349 530.00,1 914 106 500.00,+6.60,15:32,AV
BMCI,Actions,AUT,620.00,12 002,7 335 225.80,8 233 157 300.00,+6.00,15:32,AV
M2M Group,Actions,AUT,529.90,170,88 399.70,343 257 030.00,+5.98,11:15,AV
AFRIC INDUSTRIES SA,Actions,AUT,331.65,15 149,4 920 908.30,96 675 975.00,+5.96,15:38,AV
MAROC LEASING,Actions,AUT,374.00,18,6 732.00,1 038 511 200.00,+5.06,14:31,AV
S.M MONETIQUE,Actions,AUT,602.00,5 531,3 309 734.80,488 866 140.00,+3.99,15:34,AV
TGCC S.A,Actions,AUT,880.00,14 477,12 577 594.90,27 843 068 000.00,+3.65,15:36,AV
ATLANTASANAD,Actions,AUT,150.00,35 815,5 369 298.35,9 042 539 200.00,+3.59,15:38,AV
RISMA,Actions,AUT,332.50,112,37 484.70,4 763 709 900.00,+2.31,15:39,AV
MAGHREB OXYGENE,Actions,AUT,448.00,128,57 347.90,364 000 000.00,+2.10,14:21,AV
MAGHREBAIL,Actions,AUT,935.00,1,935.00,1 294 210 200.00,+1.96,14:30,AV
SMI,Actions,AUT,2 447.00,3,7 249.00,4 025 535 200.00,+1.96,11:04,AV
DISTY TECHNOLOGIES,Actions,AUT,333.90,2 467,815 078.75,333 268 930.00,+1.80,15:35,AV
MANAGEM,Actions,AUT,5 290.00,1 931,10 212 559.00,62 764 136 000.00,+1.73,15:32,AV
CDM,Actions,AUT,1 114.00,6 291,6 932 101.00,12 121 672 000.00,+1.46,15:32,AV
