Libellé,État,Cours,Var.(%),Date,Var % 31/12,Ouverture,+ Haut,+ Bas,Composition
AGROALIMENTAIRE / PRODUCTION,AUT,36490.72,-1.47,16:00,+11.06,37036.72,37036.72,36490.72,Composition
ASSURANCES,AUT,6292.12,+0.30,16:00,+14.17,6273.10,6292.12,6273.10,Composition
BANQUES,AUT,19444.66,+0.72,16:00,+18.44,19305.58,19444.66,19305.58,Composition
BATIMENT & MATERIAUX DE CONSTRUCTION,AUT,28901.72,-0.14,16:00,+21.45,28941.03,28941.03,28901.72,Composition
BOISSONS,AUT,12386.85,0.00,16:00,-12.33,12386.85,12386.85,12386.85,Composition
CHIMIE,AUT,6315.09,+0.20,16:00,+24.02,6302.63,6315.09,6302.63,Composition
DISTRIBUTEURS,AUT,46968.35,+7.57,16:00,+18.81,43662.20,46968.35,43662.20,Composition
ELECTRICITE,AUT,6480.45,0.00,16:00,+116.42,6480.45,6480.45,6480.45,Composition
EQUIPEMENTS ELECTRONIQUES & ELECTRIQUES,AUT,5400.00,-,10/12/2021,+40.00,5400.00,-,-,Composition
INDUSTRIE PHARMACEUTIQUE,AUT,8357.12,-0.26,16:00,+56.18,8378.64,8378.64,8357.12,Composition
INGENIERIES ET BIENS D EQUIPEMENT INDUSTRIELS,AUT,343.58,+8.46,16:00,+231.78,316.79,343.58,316.79,Composition
LOISIRS & HOTELS,AUT,1504.76,+2.31,16:00,+48.40,1470.82,1504.76,1470.82,Composition
MATERIELS. LOGICIELS & SERVICES INFORMATIQUES,AUT,2648.38,-0.05,16:00,+7.87,2649.67,2649.67,2648.38,Composition
MINES,AUT,65948.25,+1.66,16:00,+72.59,64871.38,65948.25,64871.38,Composition
PARTICIPATION ET PROMOTION IMMOBILIERES,AUT,17750.67,+0.04,16:00,+2.56,17743.19,17750.67,17743.19,Composition
PETROLE & GAZ,AUT,19367.86,+0.02,16:00,+17.79,19364.29,19367.86,19364.29,Composition
SANTE,AUT,4866.67,-0.68,16:00,+38.78,4900.00,4900.00,4866.67,Composition
SERVICES AUX COLLECTIVITES,AUT,891.67,-,29/12/2022,-9.34,908.33,-,-,Composition
SERVICES DE TRANSPORT,AUT,13029.23,+0.02,16:00,+58.00,13026.15,13029.23,13026.15,Composition
SOCIETES DE FINANCEMENT & AUTRES ACTIVITES FINANCI,AUT,8289.85,+3.08,16:00,+4.59,8042.34,8289.85,8042.34,Composition
SOCIETES DE PLACEMENT IMMOBILIER,AUT,1082.27,+1.02,16:00,-1.79,1071.38,1082.27,1071.38,Composition
SOCIETES DE PORTEFEUILLE - HOLDINGS,AUT,12354.45,-1.80,16:00,+43.07,12580.81,12580.81,12354.45,Composition
SYLVICULTURE & PAPIER,AUT,34.65,+9.97,16:00,+23.09,31.51,34.65,31.51,Composition
TELECOMMUNICATIONS,AUT,1629.15,-0.67,16:00,+35.35,1640.16,1640.16,1629.15,Composition
TRANSPORT,AUT,4039.11,-0.42,16:00,-9.85,4056.26,4056.26,4039.11,Composition
