Libellé,État,PTO,PTC,Cours,Var.(%),CMP,Ouverture,+ Haut,+ Bas,Volume,Date,Qté Achat,Achat,Vente,Qté Vente,Action
AFMA,AUT,,,1302.0,-2.84,1301.25,1300.0,1303.0,1300.0,5205.0,14:26,21,1302.00,1339.00,1,AV
AFRIC INDUSTRIES SA,AUT,,,331.65,5.96,324.83,318.6,339.0,318.0,4920908.3,15:38,1300,320.00,334.90,200,AV
AFRIQUIA GAZ,AUT,,,4400.0,0.59,4399.72,4243.0,4400.0,4243.0,3308593.0,15:32,2,4350.00,4428.00,5,AV
AKDITAL,AUT,,,1460.0,-0.68,1462.67,1462.0,1470.0,1460.0,3090621.0,15:35,52,1451.00,1468.00,13,AV
ALLIANCES,AUT,,,486.0,0.21,485.85,481.0,493.0,481.0,16983476.95,15:37,25,485.30,489.90,35,AV
ALUMINIUM DU MAROC,AUT,,,1805.0,0.0,1798.2,1805.0,1805.0,1771.0,8991.0,14:22,50,1770.00,1805.00,15,AV
ARADEI CAPITAL,AUT,,,469.95,1.06,466.49,466.0,471.0,466.0,945117.1,15:32,1,465.00,469.95,33,AV
ATLANTASANAD,AUT,,,150.0,3.59,149.92,140.6,150.0,140.25,5369298.35,15:38,88,141.20,153.00,700,AV
ATTIJARIWAFA BANK,AUT,,,693.0,1.14,685.89,685.0,693.0,681.1,240259876.7,15:34,440,680.00,693.00,1214,AV
AUTO HALL,AUT,,,84.0,9.09,83.66,78.05,84.0,77.01,4456626.5,15:39,116,77.02,84.45,2000,AV
BANK OF AFRICA,AUT,,,273.9,0.7,272.77,273.0,274.0,270.1,7512226.85,15:33,175,267.00,275.00,1260,AV
BCP,AUT,,,289.1,-1.33,289.82,293.5,293.5,289.1,26762693.05,15:41,106,289.05,293.00,200,AV
BMCI,AUT,,,620.0,6.0,611.17,568.0,620.0,566.0,7335225.8,15:32,12,568.00,630.00,10,AV
CARTIER SAADA,AUT,,,35.74,9.97,35.56,35.0,35.74,35.0,486870.22,15:30,2100,43.87,38.00,210,AV
CDM,AUT,,,1114.0,1.46,1101.91,1100.0,1114.0,1087.0,6932101.0,15:32,500,1101.00,1114.00,29,AV
CFG BANK,AUT,,,228.0,1.06,228.04,230.0,230.0,226.0,6492629.05,15:41,200,227.05,229.00,45,AV
CIH,AUT,,,435.0,-1.14,433.02,440.0,440.0,431.0,198325.2,15:32,10,431.00,440.00,28,AV
CIMENTS DU MAROC,AUT,,,1970.0,0.0,1970.07,1968.0,1990.0,1965.0,1887329.0,15:30,50,1920.00,1990.00,8,AV
CMGP GROUP,AUT,,,311.85,-0.05,312.06,312.0,315.0,311.65,4415704.5,15:37,2,311.15,315.00,308,AV
COLORADO,AUT,,,64.0,8.44,64.05,60.0,64.92,60.0,1200499.68,15:36,30,61.51,64.60,87,AV
COSUMAR,AUT,,,230.0,-2.19,235.14,235.2,235.2,230.0,169537.8,15:32,609,230.00,235.10,74,AV
CTM,AUT,,,989.0,-0.42,1011.23,1019.0,1040.0,971.0,773588.1,15:18,8,970.00,989.00,30,AV
DELTA HOLDING,AUT,,,81.5,-1.81,81.51,82.0,83.0,80.6,3567170.94,15:39,200,81.40,82.50,135,AV
DISTY TECHNOLOGIES,AUT,,,333.9,1.8,330.39,328.0,333.9,328.0,815078.75,15:35,3,322.00,334.50,93,AV
DISWAY,AUT,,,794.5,0.08,788.25,789.0,794.5,785.0,1124037.5,15:32,7,790.00,794.50,996,AV
DOUJA PROM ADDOHA,AUT,,,36.87,-0.08,36.84,36.96,37.05,36.7,11653777.85,15:40,34,36.50,37.00,5240,AV
ENNAKL,AUT,,,33.7,1.14,34.86,33.28,36.65,33.0,2746150.01,15:33,400,33.20,34.49,300,AV
EQDOM,AUT,,,1146.0,6.6,1146.0,1146.0,1146.0,1146.0,349530.0,15:32,2,1078.00,1146.00,31,AV
FENIE BROSSETTE,AUT,,,377.25,9.99,359.31,350.0,377.25,347.1,6339343.25,15:31,100,380.10,380.00,100,AV
HPS,AUT,,,585.0,0.0,583.68,580.0,589.9,580.0,1945419.8,15:33,18,580.00,588.00,40,AV
IB MAROC.COM,AUT,,,72.04,9.98,72.04,72.04,72.04,72.04,93147.72,15:32,150,79.00,85.50,140,AV
IMMORENTE INVEST,AUT,,,89.36,0.86,89.13,89.01,89.36,89.0,1178784.48,15:42,790,89.00,89.36,193,AV
INVOLYS,AUT,,,191.55,9.99,191.55,191.55,191.55,191.55,202276.8,15:31,150,200.00,200.00,5,AV
ITISSALAT AL-MAGHRIB,AUT,,,111.0,-0.67,112.43,112.0,113.5,111.0,26511479.8,15:34,5500,111.00,113.00,60,AV
JET CONTRACTORS,AUT,,,2002.0,-0.35,2004.03,2020.0,2025.0,1996.0,8621317.0,15:38,10,2002.00,2025.00,56,AV
LABEL VIE,AUT,,,4790.0,7.71,4783.82,4475.0,4790.0,4450.0,19986805.0,15:32,68,4326.00,4800.00,72,AV
LAFARGEHOLCIM MAROC,AUT,,,1920.0,-2.64,1950.1,1975.0,1977.0,1920.0,13915947.0,15:30,1,1920.00,1978.00,5,AV
LESIEUR CRISTAL,AUT,,,280.0,0.0,280.01,280.0,280.15,280.0,126564.55,13:14,884,280.00,292.95,2,AV
M2M Group,AUT,,,529.9,5.98,520.0,510.0,529.9,510.0,88399.7,11:15,6,481.00,526.90,58,AV
MAGHREB OXYGENE,AUT,,,448.0,2.1,448.03,450.0,450.0,421.0,57347.9,14:21,10,424.00,450.00,133,AV
MANAGEM,AUT,,,5290.0,1.73,5288.74,5280.0,5300.0,5125.0,10212559.0,15:32,505,5180.00,5290.00,500,AV
MED PAPER,AUT,,,25.27,9.97,25.27,25.27,25.27,25.27,741472.34,15:34,5,29.87,26.00,44,AV
MICRODATA,AUT,,,830.0,-3.49,830.8,855.0,855.0,825.1,119635.4,13:23,1,815.10,855.00,45,AV
MINIERE TOUISSIT,AUT,,,2430.0,1.25,2399.33,2400.0,2430.0,2350.0,3073548.0,15:18,15,2263.00,2439.00,20,AV
MUTANDIS SCA,AUT,,,300.0,-0.5,300.03,300.1,303.0,300.0,8796496.7,15:39,5,298.20,304.50,66,AV
REALISATIONS MECANIQUES,AUT,,,541.7,9.99,529.94,510.0,541.7,510.0,3138326.1,15:31,20,535.20,550.00,15,AV
RES DAR SAADA,AUT,,,122.9,0.0,122.84,124.95,124.95,121.5,9707031.4,15:38,505,121.55,123.80,800,AV
RISMA,AUT,,,332.5,2.31,334.68,336.85,336.85,329.0,37484.7,15:39,30,320.20,339.00,15,AV
S.M MONETIQUE,AUT,,,602.0,3.99,598.4,579.9,613.0,579.9,3309734.8,15:34,2,583.00,608.00,33,AV
SALAFIN,AUT,,,650.0,0.0,650.0,650.0,650.0,650.0,910000.0,15:31,1,620.60,658.00,100,AV
SANLAM MAROC,AUT,,,1792.0,0.62,1822.14,1783.0,1900.0,1783.0,158526.0,15:36,8,1787.00,1899.00,3,AV
SMI,AUT,,,2447.0,1.96,2416.33,2401.0,2447.0,2401.0,7249.0,11:04,15,2400.00,2445.00,18,AV
SNEP,AUT,,,713.5,0.0,710.3,695.5,713.5,695.5,187520.5,15:31,10,698.50,713.50,22,AV
SOCIETE DES BOISSONS DU MAROC,AUT,,,1986.0,0.0,2035.68,2114.0,2114.0,1986.0,128248.0,15:33,5,1983.00,2100.00,6,AV
SODEP-Marsa Maroc,AUT,,,846.9,0.02,844.74,847.9,848.9,840.1,8579212.0,15:40,756,846.90,849.00,300,AV
SONASID,AUT,,,2580.0,-0.04,2589.62,2588.0,2608.0,2579.0,4003556.0,15:33,50,2520.00,2595.00,5,AV
SOTHEMA,AUT,,,1500.0,0.13,1500.38,1456.0,1545.0,1456.0,1615910.0,15:41,2,1456.00,1500.00,28,AV
STOKVIS NORD AFRIQUE,AUT,,,61.0,1.06,61.27,61.0,61.96,60.3,2732563.16,15:38,500,60.71,61.00,2423,AV
STROC INDUSTRIE,AUT,,,226.15,10.0,221.68,225.0,226.15,212.0,7592615.8,15:36,88,230.00,232.00,10,AV
TAQA MOROCCO,AUT,,,2900.0,0.0,2931.8,2948.0,2948.0,2882.0,8763150.0,15:35,20,2881.00,2940.00,100,AV
TGCC S.A,AUT,,,880.0,3.65,868.8,855.0,880.0,850.0,12577594.9,15:36,34,860.00,890.00,17,AV
TOTALENERGIES MARKETING MAROC,AUT,,,1789.0,-1.05,1789.67,1808.0,1809.0,1789.0,1521216.0,15:32,1,1782.00,1802.00,5,AV
WAFA ASSURANCE,AUT,,,5235.0,-0.29,5235.12,5247.0,5247.0,5235.0,5287470.0,15:37,1,4877.00,-,-,AV
